team,location,mean,std
Atlanta Hawks,away,1.173913043478261,0.9262672478786853
Atlanta Hawks,home,1.0888888888888888,1.276041859925774
Boston Celtics,away,1.1818181818181819,1.3166682277579707
Boston Celtics,home,1.0232558139534884,0.6721809596566367
Brooklyn Nets,away,0.9512195121951219,0.8047117344799664
Brooklyn Nets,home,1.2,1.1591331863033445
Charlotte Hornets,away,1.25,1.2598449517006374
Charlotte Hornets,home,0.9772727272727273,0.6283472733951241
Chicago Bulls,away,1.146341463414634,1.236142702315475
Chicago Bulls,home,1.025,0.6196566460342042
Cleveland Cavaliers,away,1.0980392156862746,0.9220607780571586
Cleveland Cavaliers,home,1.5294117647058822,1.6413767535391814
Dallas Mavericks,away,1.0465116279069768,1.430176285705684
Dallas Mavericks,home,1.1395348837209303,0.5598212022744918
Denver Nuggets,away,0.975,1.3298833571369122
Denver Nuggets,home,1.170731707317073,0.49509792083941556
Detroit Pistons,away,1.2380952380952381,1.3580747457701738
Detroit Pistons,home,1.0,0.7237468644557459
Golden State Warriors,away,1.1568627450980393,1.2864299284392888
Golden State Warriors,home,1.3333333333333333,0.8467473838610141
Houston Rockets,away,1.1136363636363635,1.2978678237591301
Houston Rockets,home,1.119047619047619,0.7715167498104596
Indiana Pacers,away,1.1590909090909092,1.328457434144594
Indiana Pacers,home,1.0681818181818181,0.586583615750035
Los Angeles Clippers,away,0.8604651162790697,0.7740245889055097
Los Angeles Clippers,home,1.3636363636363635,1.1830372635800732
Los Angeles Lakers,away,0.7804878048780488,0.6523877344781712
Los Angeles Lakers,home,1.375,1.3337339141845928
Memphis Grizzlies,away,1.0,0.8451542547285167
Memphis Grizzlies,home,1.2142857142857142,1.2402933226186474
Miami Heat,away,0.9791666666666666,1.344643958781106
Miami Heat,home,1.2340425531914894,0.6663582388608152
Milwaukee Bucks,away,0.8536585365853658,0.7266696501766156
Milwaukee Bucks,home,1.3,1.181046906296187
Minnesota Timberwolves,away,1.025,1.2503845562312172
Minnesota Timberwolves,home,1.1219512195121952,0.6401219396028976
New Orleans Pelicans,away,0.85,0.6621642835894568
New Orleans Pelicans,home,1.3170731707317074,1.1713032141645454
New York Knicks,away,1.175,1.4480313780422274
New York Knicks,home,0.9512195121951219,0.5895430226961863
Oklahoma City Thunder,away,0.98,0.8449127475783568
Oklahoma City Thunder,home,1.3673469387755102,1.0346875041733699
Orlando Magic,away,0.8292682926829268,0.7714414762115869
Orlando Magic,home,1.325,1.308502765445869
Philadelphia 76ers,away,1.0,1.3008872711759818
Philadelphia 76ers,home,1.146341463414634,0.7924952873599974
Phoenix Suns,away,0.8292682926829268,0.7036490255940899
Phoenix Suns,home,1.325,1.1851106190930785
Portland Trail Blazers,away,0.8936170212765957,0.6670520008799097
Portland Trail Blazers,home,1.3777777777777778,1.284326652178078
Sacramento Kings,away,0.7804878048780488,0.7586894991348971
Sacramento Kings,home,1.375,1.3337339141845925
San Antonio Spurs,away,1.0888888888888888,1.2026905863374198
San Antonio Spurs,home,1.2391304347826086,0.8481295133985048
Toronto Raptors,away,1.14,1.3094632020606845
Toronto Raptors,home,1.0588235294117647,0.5064292529419031
Utah Jazz,away,0.975,1.1654755824698058
Utah Jazz,home,1.170731707317073,0.70364902559409
Washington Wizards,away,0.85,0.7355444521071729
Washington Wizards,home,1.2926829268292683,1.1455108563218506
